1.4376 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
148.3631 	EXP 	fixation: autoDraw = False
148.3631 	EXP 	grating: autoDraw = True
148.6628 	EXP 	grating: autoDraw = False
149.0508 	EXP 	New trial (rep=58, index=0): None
149.0537 	DATA 	Keypress: up
149.0629 	EXP 	fixation: autoDraw = False
149.0629 	EXP 	grating: autoDraw = False
149.0629 	EXP 	grating: ori = 0.0
149.0629 	EXP 	fixation: autoDraw = True
150.0627 	EXP 	fixation: autoDraw = False
150.0627 	EXP 	grating: autoDraw = True
150.3631 	EXP 	grating: autoDraw = False
151.5515 	EXP 	New trial (rep=59, index=0): None
151.5542 	DATA 	Keypress: up
151.5631 	EXP 	fixation: autoDraw = False
151.5631 	EXP 	grating: autoDraw = False
151.5631 	EXP 	grating: ori = -2.0
151.5631 	EXP 	fixation: autoDraw = True
152.5630 	EXP 	fixation: autoDraw = False
152.5630 	EXP 	grating: autoDraw = True
152.8638 	EXP 	grating: autoDraw = False
153.2837 	EXP 	New trial (rep=60, index=0): None
153.2864 	DATA 	Keypress: up
153.2966 	EXP 	fixation: autoDraw = False
153.2966 	EXP 	grating: autoDraw = False
153.2966 	EXP 	grating: ori = 0.0
153.2966 	EXP 	fixation: autoDraw = True
154.2964 	EXP 	fixation: autoDraw = False
154.2964 	EXP 	grating: autoDraw = True
154.5961 	EXP 	grating: autoDraw = False
155.0847 	EXP 	New trial (rep=61, index=0): None
155.0875 	DATA 	Keypress: down
